Phase,Site id,Municipality,Site name,Collection,Main number,Subnumber,p,i,z,m1,m2,m3,n1,n2,n3,n4,p1,p2,r1,r2,Category,Type,Subtype,Subtype (Finnish),Certainty,Integrity,Length (mm),Width (mm),Thickness (mm),Fragment length (mm),Fragment width (mm),Fragment thickness (mm),Other notes (Finnish),Photo ID,X,Y,Main temper (Finnish),Other tempers (Finnish),Count (1-10),Count (10-100),Count (>100),Subtype 2,Subtype 2 (Finnish),Rock type (Finnish),PhotoID,Length,Mon1,Mon2,Mon3,Mon4,Mon5,Mon6,Ajoitusperuste,Type (Finnish),Preroman IA,Early Roman IA,Late Roman IA,Migration period,Merovingian period,Viking period,Crusade period,1100-1300,1400-1500,Settlement site,Cremation cemetery,Inhumation cemetery,Stray find,Cairn,Hoard,Other context,Decoration,Wave motif,Grid motif,Cord impression,Decoration elements (Finnish),Wall thickness 1 (mm),Wall thickness 2 (mm),Rim thickness 1 (mm),Rim thickness 2 (mm),Crust,Stone art (Finnish)
SA,105010018,Hyrynsalmi,Vonkka 2,KM,15393,416.0,7177900.0,3571460.0,156,False,True,True,True,True,True,False,True,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,1.0,False,32.0,26.0,13.0,,,,,KM 15393_416,"28,49402038","64,69134666",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,105010018,Hyrynsalmi,Vonkka 2,KM,15393,2106.0,7177900.0,3571460.0,156,False,True,True,True,True,True,False,True,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,2.0,False,,,,,,,3 kpl,KM 15393_2106,"28,49402038","64,69134666",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,320010103,Kemijärvi,Neitilä 3,KM,15670,20.0,7374030.0,3516850.0,146,False,False,True,False,False,False,False,True,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,1.0,False,,,,0.0,,,,KM 15670_20,"27,37402885","66,45742558",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,320010104,Kemijärvi,Neitilä 4,KM,16145,1016.0,7373790.0,3516815.0,146,False,True,False,True,True,True,False,True,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,1.0,False,,,,,,,pallo,KM 16145_1016,"27,37321181","66,45527531",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,1000016017,Kemijärvi,Neitilä 6,KM,16491,320.0,7373605.0,3516795.0,146,False,False,False,True,True,True,False,True,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,1.0,False,,,,,,,hampaanjälkiä,KM 16491_320,"27,3727386","66,45361744",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,40010015,Kemiönsaari,Jordbro,KM,16544,87.0,6670194.0,3247004.0,,False,False,False,False,False,False,True,False,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,2.0,False,,,,,,,olleet koristeltuja,KM 16544_87,"22,45163388","60,06528389",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,831010010,Taipalsaari,Syrjälä 1,KM,16545,36.0,6789890.0,3559700.0,82,False,False,False,False,True,False,False,False,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,2.0,False,,,,,,,,KM 16545_36,"28,10768347","61,21323163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,300010004,Kuortane,Lahdenkangas 1,KM,16856,50.0,6960893.0,3323028.0,95,False,False,True,False,False,False,False,False,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,2.0,False,,,,,,,,KM 16856_50,"23,53732672","62,70945899",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,407010011,Lapinjärvi,Gammelby,KM,16916,108.0,6725600.0,3455740.0,25,False,False,False,True,False,False,False,False,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,1.0,False,,,,,,,,KM 16916_108,"26,18806374","60,63832741",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,309010002,Outokumpu,Sätös,KM,17284,109.0,6959520.0,3607260.0,86,False,False,False,True,True,True,False,False,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,1.0,False,,,,,,,,KM 17284_109,"29,09388764","62,72424211",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
