Phase;Site id;Municipality;Site name;p;i;z;Collection;Main number;Subnumber;m1;m2;m3;n1;n2;n3;n4;p1;p2;r1;r2;Category;Type;Subtype;Subtype (Finnish);Other notes (Finnish);Photo ID
SA;uusi 2147;Pihtipudas;;7029472;3437550;;KM;13351;;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner with a central trough;Reenjalas, päällyskourullinen;;KM 13351
SA;1000000338;Toivakka;Pitkäjoki-Kuuskoski;6890440;3450420;90;KM;13355;1;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner;Reenjalas;;KM 13355_1
SA;1000000338;Toivakka;Pitkäjoki-Kuuskoski;6890440;3450420;90;KM;13355;2;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner;Reenjalas;;KM 13355_2
SA;1000014563;Joroinen;Eskeli;6902448;3544498;;KM;13468;1;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner;Reenjalas;;KM 13468_1
SA;1000014563;Joroinen;Eskeli;6902448;3544498;;KM;13468;2;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner;Reenjalas;;KM 13468_2
SA;1000014563;Joroinen;Eskeli;6902448;3544498;;KM;13468;3;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner;Reenjalas;;KM 13468_3
SA;1000014563;Joroinen;Eskeli;6902448;3544498;;KM;13468;4;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner;Reenjalas;;KM 13468_4
SA;1000014563;Joroinen;Eskeli;6902448;3544498;;KM;13468;5;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner with a central ridge;Reenjalas, keskiharjallinen;;KM 13468_5
SA;uusi 2193;Ähtäri;Peränne;6934132;3344718;;KM;13472;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner;Reenjalas;;KM 13472
SA;607040018;Polvijärvi;nimeämätön;6974778;3620814;;KM;13690;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge;Sledge;Ahkio;Veturin emäpuu;KM 13690
SA;uusi 2265;Rääkkylä;Sangenlahti;6905070;3642898;;KM;13699;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Ski;Ski;Suksi;;KM 13699
SA;uusi 2269;Säkylä;;6791318;3246026;;KM;13720;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Bark float;Kaarnakoho;;KM 13720
SA;1000005669;Laitila;Heräjärvi;6769338;3212785;15;KM;13783;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;Wooden artefacts;Ski;Ski;Suksi;;KM 13783
SA;699010200;Rovaniemi;Haavikko;7394488;3426912;100;KM;14189;;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Wooden sculpture of an elk head;Wooden sculpture of an elk head;Puinen hirvenpääveistos;;KM 14189
SA;x700;Keuruu;Valkeaniemi Ison Jussin suo;6893759;3376134;;KM;14361;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge;Sledge;Ahkio;Päällyskourullinen veturin emäpuu;KM 14361
SA;x533;Inkoo;Gumböle Solbacka;6670159;3329641;;KM;14738;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner;Reenjalas;kahtena kappaleena, toinen kooltaan 934 x 108 x 42 mm;KM 14738
SA;1000004166;Kiuruvesi;Jauhiainen;7050600;3487320;100;KM;14868;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Bark float;Kaarnakoho;nelikulmainen;KM 14868
SA;uusi 2049;Turku;Saramäki;6720727;3242436;;KM;15273;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Bark float;Kaarnakoho;männyn kaarnaa;KM 15273
SA;uusi 7075;Kauhava;Perkiömäki;7029858;3297405;;KM;16108;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner with a central groove;Reenjalas, keskikuurnallinen;;KM 16108
SA;1000006263;Lappajärvi;Ahvenniemen ranta;7013645;3328553;;KM;16109;1;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner with a central groove;Reenjalas, keskikuurnallinen;;KM 16109_1
SA;1000006263;Lappajärvi;Ahvenniemen ranta;7013645;3328553;;KM;16109;2;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner with a central groove;Reenjalas, keskikuurnallinen;;KM 16109_2
SA;5010001;Alajärvi;Joensuu/Vieruaho;6998671;3331310;72,5;KM;16110;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner with a central groove;Reenjalas, keskikuurnallinen;;KM 16110
SA;704000003;Rusko;Moisio-Rinnemaa;6725564;3237868;32,5;KM;16167;9;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;Wooden artefacts;Fishing implement;Birch bark float;Tuohikoho;;KM 16167_9
SA;5010001;Alajärvi;Joensuu/Vieruaho;6998671;3331310;72,5;KM;16224;1;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner with a central groove;Reenjalas, keskikuurnallinen;kantakatkelma;KM 16224_1
SA;5010001;Alajärvi;Joensuu/Vieruaho;6998671;3331310;72,5;KM;16224;2;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner with a central groove;Reenjalas, keskikuurnallinen;kantakatkelma;KM 16224_2
SA;5010001;Alajärvi;Joensuu/Vieruaho;6998671;3331310;72,5;KM;16224;3;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner with a central groove;Reenjalas, keskikuurnallinen;keulan katkelma;KM 16224_3
SA;uusi 2032;Sysmä;Otamo;6821326;3430683;;KM;16441;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner;Reenjalas;;KM 16441
SA;5010001;Alajärvi;Joensuu/Vieruaho;6998671;3331310;72,5;KM;16543;1;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner;Reenjalas;;KM 16543_1
SA;5010001;Alajärvi;Joensuu/Vieruaho;6998671;3331310;72,5;KM;16543;2;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner;Reenjalas;;KM 16543_2
SA;1000013799;Kärsämäki;Riihipelto Sarpanen;7102000;3443500;;KM;16642;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;Wooden artefacts;Bow;Bow;Jousi;;KM 16642
SA;x404;Pihtipudas;Madeneva;7031730;3428174;;KM;16935;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner;Reenjalas;;KM 16935
SA;x149;Laukaa;Kapeenkoski, Sammallahti, Alasuo Pirttijärven ranta;6918340;3462876;;KM;17057;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner;Reenjalas;;KM 17057
SA;52500029;Evijärvi;Jokela Varispuro;7033220;3326517;;KM;17072;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Ski;Ski;Suksi;;KM 17072_1
SA;x50;Vaala;Oterma, Ketola;7174547;3506726;;KM;18407;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Ski;Ski;Suksi;;KM 18407
SA;1000000460;Sodankylä;Nuulasenlehto;7481500;3476360;210;KM;19441;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Wooden artefacts;Ski;Ski;Suksi;piirtokoristeltu;KM 19441
SA;uusi 1558;Kouvola;Kaislaranta;6760491;3477785;;KM;20117;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner with a central groove;Reenjalas, keskikuurnallinen;;KM 20117
SA;5010001;Alajärvi;Joensuu/Vieruaho;6998671;3331310;72,5;KM;20163;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner with a central groove;Reenjalas, keskikuurnallinen;;KM 20163
SA;uusi 1577;Kuusamo;Penikkasalmi;7316505;3629457;;KM;20248;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner;Reenjalas;;KM 20248
SA;578040003;Paltamo;Lumisuo;7153000;3524439;140;KM;20253;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Wooden artefacts;Bow;Bow;Jousi;;KM 20253
SA;uusi 1581;Pori;Myllypuro;6841390;3237421;;KM;20260;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner with a central groove;Reenjalas, keskikuurnallinen;;KM 20260
SA;uusi 1645;Orimattila;Pennala;6755100;3429780;;KM;20533;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Bark float;Kaarnakoho;muodoltaan soikea, toisessa päässä reikä;KM 20533
SA;suo 115;Urjala;Kortejärvi;6782852;3309304;;KM;20577;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Ski;Ski;Suksi;mäntyä, c14-ajoitettu;KM 20577
SA;uusi 744;Kajaani;Lapinniemi;7125600;3516070;120;KM;21486;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Ski;Ski;Suksi;havupuuta;KM 21486
SA;uusi 13;Alavus;Mäkelä;6948799;3333538;;KM;22109;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Bark float;Kaarnakoho;;KM 22109
SA;1000012244;Janakkala;Vähä-Hiisi 3;6760398;3370871;79,5;KM;22698;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Birch bark float;Tuohikoho;;KM 22698_1
SA;1000012244;Janakkala;Vähä-Hiisi 3;6760398;3370871;79,5;KM;22698;2;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Birch bark float;Tuohikoho;;KM 22698_2
SA;1000012244;Janakkala;Vähä-Hiisi 3;6760398;3370871;79,5;KM;22698;3;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Birch bark float;Tuohikoho;;KM 22698_3
SA;1000012244;Janakkala;Vähä-Hiisi 3;6760398;3370871;79,5;KM;22698;4;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Birch bark float;Tuohikoho;;KM 22698_4
SA;uusi 132;Viitasaari;Kesämaja;7005380;3433380;;KM;22761;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner;Reenjalas;Mäntyä;KM 22761
SA;594010013;Pieksämäki;Vemmellahti 1;6919440;3509440;120;KM;22785;;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Wooden artefact fragment;Wooden artefact fragment;Puuesineen katkelma;koristeltu;KM 22785
SA;uusi 155;Kankaanpää;Satamankeidas;6887659;3257522;;KM;22898;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Ski;Ski;Suksi;;KM 22898
SA;suo 18;Ranua;Asmuntti Karhusuo;7291442;3481044;;KM;22916;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Ski;Ski;Suksi;C14-ajoitettu, kohopäläksellinen, mäntyä;KM 22916
SA;1000008970;Tornio;Sammaljänkkä;7314639;3376862;12,5;KM;22934;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Ski;Ski;Suksi;;KM 22934
SA;1000001139;Joensuu;Hernesuo;6940400;3645870;81;KM;23583;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner;Reenjalas;;KM 23583
SA;1000008956;Ulvila;Ellinkangas;6831622;3241310;45,5;KM;23896;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner with a central groove;Reenjalas, keskikuurnallinen;sembramäntyä, otettu C14-näyte;KM 23896
SA;845010120;Tervola;Hietala;7352259;3406021;75;KM;24265;;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Paddle;Paddle;Mela;;KM 24265
SA;85040001;Mikkeli;Oravasalo;6883160;3496350;105;KM;24922;;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner;Reenjalas;kaikki alanumerot samasta jalaksesta;KM 24922
SA;241010002;Keminmaa;Keronmäki;7313531;3395986;30;KM;25434;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Wooden artefacts;Ski;Ski;Suksi;Suksilöytö pronssikautisen asuinpaikan läheisyydestä.;KM 25434
SA;262010025;Eura;Panelia;6800441;3230289;26;KM;26062;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Wooden artefacts;Ski;Ski;Suksi;mäntyä, rautakautinen;KM 26062
SA;1000012024;Haapavesi;Toivola;7122845;3420434;120,7;KM;26218;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;Wooden artefacts;Ski;Ski;Suksi;;KM 26218
SA;a249;Mänttä-Vilppula;Kolho;6890103;3374713;;KM;26590;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Ski;Ski;Suksi;;KM 26590
SA;uusi 478;Kurikka;Jurvanjärvi;6959855;3237529;;KM;27368;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Lath screen fish trap;Liistekatiska;C14-ajoitus: 4390 +/- 120 BP (Hel-3282);KM 27368
SA;1000003493;Saarijärvi;Harjula;6966406;3401825;139;KM;27938;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Wooden artefacts;Sledge;Sledge;Ahkio;;KM 27938_1
SA;1000003493;Saarijärvi;Harjula;6966406;3401825;139;KM;27938;2;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Wooden artefacts;Fishing implement;Fyke net;Rysä;;KM 27938_2
SA;309010017;Outokumpu;Lintutorni;6955357;3606986;87;KM;27965;10;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Wooden artefact fragment;Wooden artefact fragment;Puuesineen katkelma;pieni hiiltynyt pala, jossa tasoitetun näköistä pintaa ja tehdyn näköinen kolo;KM 27965_10
SA;732010067;Salla;Kenttälampi koillinen 1;7407145;3590470;295;KM;27997;26;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Wooden artefact fragment;Wooden artefact fragment;Puuesineen katkelma;;KM 27997_26
SA;uusi 539;Saarijärvi;Isopelto;6968617;3400787;145;KM;28113;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Ski;Ski;Suksi;;KM 28113
SA;suo 94;Saarijärvi;;6957227;3409926;;KM;28211;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner;Reenjalas;Morjärv-tyypin jalas, ajoitettu 1790 +/- 80 BP, Su-1514;KM 28211
SA;1000004620;Kinnula;Kierinlahti;7030423;3402015;132;KM;28257;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;Wooden artefacts;Ski;Ski;Suksi;ei luetteloa, ajoitettu Hel-1536;KM 28257
SA;uusi 568;Viitasaari;Niininiemi;6977269;3451700;;KM;28258;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Bow;Bow;Jousi;varhaiskeskiaikainen, mäntyä;KM 28258
SA;uusi 573;Kurikka;Närvijoki;6959301;3236981;69;KM;28304;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Lath screen fish trap;Liistekatiska;;KM 28304_1
SA;uusi 573;Kurikka;Närvijoki;6959301;3236981;69;KM;28304;2;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Lath screen fish trap;Liistekatiska;;KM 28304_2
SA;uusi 573;Kurikka;Närvijoki;6959301;3236981;69;KM;28304;3;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Lath screen fish trap;Liistekatiska;7 kpl paloja;KM 28304_3
SA;b2;Paltamo;Kivesneva;7154080;3511030;130;KM;28421;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Ski;Ski;Suksi;;KM 28421
SA;1000002692;Kontiolahti;Päivärinne;6958689;3645722;80;KM;28422;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Wooden artefacts;Ski;Ski;Suksi;;KM 28422_1
SA;1000002692;Kontiolahti;Päivärinne;6958689;3645722;80;KM;28422;2;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Wooden artefacts;Ski;Ski;Suksi;;KM 28422_2
SA;1000002694;Kontiolahti;Tervauuro;6958911;3645762;80;KM;28423;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Wooden artefacts;Ski;Ski;Suksi;;KM 28423_1
SA;1000002694;Kontiolahti;Tervauuro;6958911;3645762;80;KM;28423;2;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Wooden artefacts;Wooden artefact fragment;Wooden artefact fragment;Puuesineen katkelma;Molemmissa reikiä;KM 28423_2
SA;1000009225;Laukaa;Kallioranta;6911300;3457620;83;KM;28431;0;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Paddle;Paddle;Mela;Ua-4596 4080+/-80 BP;KM 28431_0
SA;b142;Seinäjoki;Järviranta;6996104;3279348;40;KM;29476;0;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Paddle;Paddle;Mela;"kahtena kappaleena; Ajoitustulos Su-3265: 2620-2440 calBC";KM 29476_0
SA;972010012;Oulu;Purkajasuo;7253170;3448510;50,5;KM;29764;0;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Fishing implements;Kalastus- ja pyyntivälineitä;;KM 29764_0
SA;b172;Enontekiö;Periläkangas;7594296;3368436;290;KM;29775;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner;Reenjalas;"Hel-3919 1080+/-70 BP; Morjärv-tyyppiä";KM 29775
SA;630040024;Pyhäntä;Pyhännänjoen suu;7119900;3471480;95;KM;29886;0;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Paddle;Paddle;Mela;;KM 298860
SA;972010012;Oulu;Purkajasuo;7253170;3448510;50,5;KM;30603;;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Fishing implements;Kalastus- ja pyyntivälineitä;erilaisia paaluja, liisteitä ym.;KM 30603
SA;uusi 893;Kurikka;Niinistönneva;6959369;3253048;;KM;30704;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge;Sledge;Ahkio;ahkio tai veturi;KM 30704
SA;uusi 900;Janakkala;Valkealampi;6759893;3373574;;KM;30782;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Punt;Punt;Ruuhi;;KM 30782
SA;972010012;Oulu;Purkajasuo;7253170;3448510;50,5;KM;31019;;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Fishing implements;Kalastus- ja pyyntivälineitä;;KM 31019
SA;uusi 966;Pudasjärvi;Ällinsuo;7265420;3500380;120;KM;31386;;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Paddle;Paddle;Mela;kahtena kappaleena: mitat 640 x 190 x 27 ja 430 x 90 x 25 mm;KM 31386
SA;uusi 975;Paltamo;Kiveslahti;7151360;3512060;120;KM;31436;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Ski;Ski;Suksi;;KM 31436
SA;uusi 975;Paltamo;Kiveslahti;7151360;3512060;120;KM;31498;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Ski;Ski;Suksi;;KM 31498
SA;uusi 1040;Evijärvi;Sulkajärvi;7043052;3316490;;KM;32040;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Lath screen fish trap;Liistekatiska;6 kpl;KM 32040
SA;suo 112;Kokkola;Kupukkaneva;7059192;3350735;;KM;32550;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Ski;Ski;Suksi;;KM 32550
SA;suo 113;Kokkola;Pahalampi;7060990;3355086;;KM;32551;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Ski;Ski;Suksi;;KM 32551
SA;263040002;Kiuruvesi;Kaikonsuo;7075220;3484560;;KM;32557;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner;Reenjalas;palojen pituus yhteensä yli 2 m;KM 32557
SA;694010007;Riihimäki;Sinivuokkoniemi A-E;6733071;3378985;88;KM;32679;84;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Wooden artefact fragment;Wooden artefact fragment;Puuesineen katkelma;;KM 32679_84
SA;694010007;Riihimäki;Sinivuokkoniemi A-E;6733071;3378985;88;KM;32679;110;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Wooden stake;Wooden stake;Puupaalu;;KM 32679_110
SA;694010007;Riihimäki;Sinivuokkoniemi A-E;6733071;3378985;88;KM;32679;111;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Wooden artefact fragment;Wooden artefact fragment;Puuesineen katkelma;;KM 32679_111
SA;694010007;Riihimäki;Sinivuokkoniemi A-E;6733071;3378985;88;KM;32679;115;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Wooden stake;Wooden stake;Puupaalu;;KM 32679_115
