Phase;Site id;Municipality;Site name;Collection;Main number;Subnumber;p;i;z;m1;m2;m3;n1;n2;n3;n4;p1;p2;r1;r2;Category;Type;Subtype;Subtype (Finnish);Certainty;Integrity;Length (mm);Width (mm);Thickness (mm);Fragment length (mm);Fragment width (mm);Fragment thickness (mm);Other notes (Finnish);Photo ID
SA;691010058;Reisjärvi;Hylkiranta Luotola;KM;14210;445;7058395;3401535;115;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber piece;Amber piece;Meripihkaa;1;FALSE;;;;;;;;KM 14210_445
SA;777010025;Suomussalmi;Kalmosärkkä;KM;14504;20;7237045;3614621;199;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber ring;Amber ring;Meripihkarengas;1;FALSE;;;;24;10;5;ei mittoja;KM 14504_20
SA;777010025;Suomussalmi;Kalmosärkkä;KM;14504;76;7237045;3614621;199;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Triangular amber pendant;Meripihkariipus, kolmiomainen;1;FALSE;23;15;5;;;;ei mittoja;KM 14504_76
SA;777010025;Suomussalmi;Kalmosärkkä;KM;14504;301;7237045;3614621;199;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Drop-shaped amber pendant;Meripihkariipus, pisaranmuotoinen;1;FALSE;25;17;7;;;;ei mittoja;KM 14504_301
SA;699010201;Rovaniemi;Niskala;KM;14699;3165;7373070;3439030;75;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Amber pendant;Meripihkariipus;1;FALSE;;;;19;14;10;reikä tehty molemmilta puolilta;KM 14699_3165
SA;699010201;Rovaniemi;Niskala;KM;14699;3194;7373070;3439030;75;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber button;Amber button with v-drilling;Meripihkanappi, v-porauksellinen;1;FALSE;;;;14;7;5;;KM 14699_3194
SA;50010033;Eura;Kolmhaara;KM;14717;1;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Tongue-shaped amber pendant;Meripihkariipus, kielimäinen;1;FALSE;;;;42;25;8;lähinnä lapionterän muotoinen;KM 14717_1
SA;50010033;Eura;Kolmhaara;KM;14717;2;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Amber pendant;Meripihkariipus;1;FALSE;;;;34;30;10;8-muotoinen;KM 14717_2
SA;50010033;Eura;Kolmhaara;KM;14717;3;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Egg-shaped amber pendant;Meripihkariipus, munanmuotoinen;1;FALSE;;;;45;30;27;lähinnä munanmuotoinen;KM 14717_3
SA;50010033;Eura;Kolmhaara;KM;14717;4;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber artefact;Amber artefact;Meripihkaesine;1;FALSE;28;28;6;;;;;KM 14717_4
