Phase;Site id;Collection;Main number;Subnumber;Municipality;Site name;p;i;z;m1;m2;m3;n1;n2;n3;n4;p1;p2;r1;r2;Category;Type;Subtype;Subtype (Finnish);Certainty;Integrity;Length (mm);Width (mm);Thickness (mm);Fragment length (mm);Fragment width (mm);Fragment thickness (mm);Other notes (Finnish)
SA;749010003;KHMESIE;5948;;SiilinjÑrvi;PîljÑn vanha kansakoulu;7002500;3531750;100;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Anthropomorphic clay idol;Savi-idoli, ihminen;2;FALSE;;;;22;12;11;
SA;853010030;KM;5105;3;Turku;JÑkÑrlÑ;6722254;3245384;;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay bar;Saviesine, tanko;1;FALSE;;;;24;10;10;
SA;Karjala 61;KM;5427;14;Viipuri;HÑyrynmÑki;6737415;3599675;;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay bar;Saviesine, tanko;1;FALSE;;;;35;12;11;
SA;Karjala 61;KM;5428;226;Viipuri;HÑyrynmÑki;6737415;3599675;;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay bar;Saviesine, tanko;1;TRUE;30;9;9;;;;
SA;Karjala 61;KM;5428;246;Viipuri;HÑyrynmÑki;6737415;3599675;;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay bar;Saviesine, tanko;1;FALSE;;;;20;7;7;
SA;Karjala 61;KM;5620;1753;Viipuri;HÑyrynmÑki;6737415;3599675;;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Other clay idol;Savi-idoli;1;FALSE;;;;24;24;10;kiekura
SA;Karjala 61;KM;5620;2888;Viipuri;HÑyrynmÑki;6737415;3599675;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay artefact fragment;Saviesineen katkelma;1;TRUE;40;30;15;;;;isompi savipallukka
SA;Karjala 61;KM;5621;2;Viipuri;HÑyrynmÑki;6737415;3599675;;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Other clay idol;Savi-idoli;1;FALSE;;;;38;35;28;jalkamainen, pohjassa kampaleima, mahdollisesti upokas
SA;Kaukola 15;KM;6500;1;Kaukola;KankaanmÑki;6778677;3648046;;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay bar;Saviesine, tanko;1;FALSE;;;;22;11;10;
SA;Kaukola 15;KM;6620;8;Kaukola;KankaanmÑki;6778677;3648046;;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay bar;Saviesine, tanko;1;FALSE;;;;35;10;8;
SA;Kaukola 15;KM;6620;13;Kaukola;KankaanmÑki;6778677;3648046;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Bent clay idol;Savi-idoli, kÑyrÑ;1;FALSE;;;;29;23;22;
SA;Kaukola 15;KM;6620;18;Kaukola;KankaanmÑki;6778677;3648046;;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay bar;Saviesine, tanko;1;FALSE;;;;29;14;13;
SA;Kaukola 21;KM;6691;23;Kaukola;TiitunmÑki Varpa;6778525;3648654;;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay ball;Saviesine, pallo;1;FALSE;;;;22;21;11;
SA;RÑisÑlÑ 18;KM;6939;3;RÑisÑlÑ;VirtelÑ PitkÑjÑrvi;6767059;3644914;;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay ring;Saviesine, rengas;1;FALSE;;;;21;11;7;
SA;RÑisÑlÑ 18;KM;6939;183;RÑisÑlÑ;VirtelÑ PitkÑjÑrvi;6767059;3644914;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay artefact fragment;Saviesineen katkelma;1;FALSE;;;;22;10;13;hampaanjÑlkiÑ?
SA;uusi 6865;KM;6940;18;Kaukola;TiitunmÑki;6779418;3647941;;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay ball;Saviesine, pallo;1;TRUE;34;36;23;;;;
SA;RÑisÑlÑ 18;KM;7033;12;RÑisÑlÑ;VirtelÑ PitkÑjÑrvi;6767059;3644914;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Bent clay idol;Savi-idoli, kÑyrÑ;1;FALSE;;;;33;25;16;koristeltu
SA;257010049;KM;7349;6;Kirkkonummi;Oitbacka KvarnÜker;6679651;3360851;30;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay artefact fragment;Saviesineen katkelma;1;FALSE;;;;26;22;18;
SA;Kaukola 18;KM;7357;61;Kaukola;KyîstÑlÑnharju;6779166;3648664;;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay bar;Saviesine, tanko;2;FALSE;;;;29;13;14;koristeltu
SA;Kaukola 17;KM;7483;31;Kaukola;Nîkîpelto;6779916;3647549;;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay sheet;Saviesine, levy;1;FALSE;;;;33;25;11;
SA;uusi 6559;KM;7898;51;Sortavala;HyvÑrinen;6841133;3686718;;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay artefact fragment;Saviesineen katkelma;2;FALSE;;;;30;20;10;
SA;uusi 6559;KM;7898;86;Sortavala;HyvÑrinen;6841133;3686718;;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay artefact fragment;Saviesineen katkelma;2;FALSE;;;;32;24;14;
SA;uusi 6559;KM;7898;86;Sortavala;HyvÑrinen;6841133;3686718;;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay artefact fragment;Saviesineen katkelma;2;FALSE;;;;40;21;12;
SA;uusi 6559;KM;7898;166;Sortavala;HyvÑrinen;6841133;3686718;;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay bar;Saviesine, tanko;1;FALSE;;;;17;10;9;
SA;SÑkkijÑrvi 1;KM;7946;4;SÑkkijÑrvi;Ravi;6719876;3565700;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Bent clay idol;Savi-idoli, kÑyrÑ;1;FALSE;;;;24;13;17;pÑÑkatkelma, koristelua
SA;Kaukola 18;KM;8000;27;Kaukola;KyîstÑlÑnharju;6779166;3648664;;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay bar;Saviesine, tanko;1;FALSE;;;;25;12;10;
SA;uusi 5357;KM;8000;30;Kaukola;Kalle Merosen maantienvarsipelto (Piiskunsalmi 5);6780226;3647827;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay bar;Saviesine, tanko;1;FALSE;;;;21;12;10;
SA;257010049;KM;8038;1;Kirkkonummi;Oitbacka KvarnÜker;6679651;3360851;30;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay disc;Saviesine, kiekko;1;FALSE;;;;62;52;25;
SA;613010038;KM;8227;56;Porvoo;VÑvarsbacka;6707940;3430720;15;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay artefact fragment;Saviesineen katkelma;1;FALSE;;;;28;17;11;
SA;uusi 4395;KM;8638;2;Uusikirkko;;6705158;3614334;;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay bar;Saviesine, tanko;1;FALSE;;;;22;12;11;
SA;257010036;KM;8709;34;Kirkkonummi;Tengo NyÜker;6681465;3358830;35;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay spoon;Saviesine, lusikka;2;FALSE;;;;22;20;10;voisi olla myîs astian reunapala
SA;257010036;KM;8709;37;Kirkkonummi;Tengo NyÜker;6681465;3358830;35;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay spoon;Saviesine, lusikka;2;FALSE;;;;40;37;7;
SA;740010001;KM;8787;14;Savonlinna;PÑÑskylahti;6862231;3602745;85;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Zoomorphic clay idol;Savi-idoli, elÑin;1;TRUE;27;6;5;;;;kÑÑrme/lintu
SA;254010002;KM;8826;12;Sastamala;Uusi-Jaara;6821756;3263541;80;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay artefact fragment;Saviesineen katkelma;1;FALSE;;;;27;22;9;
SA;18010071;KM;8828;48;Askola;Honkaniemi;6713500;3432440;20;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Bent clay idol;Savi-idoli, kÑyrÑ;1;FALSE;;;;39;22;22;
SA;18010071;KM;8828;48;Askola;Honkaniemi;6713500;3432440;20;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Bent clay idol;Savi-idoli, kÑyrÑ;1;FALSE;;;;37;18;13;
SA;18010071;KM;8829;31;Askola;Honkaniemi;6713500;3432440;20;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Bent clay idol;Savi-idoli, kÑyrÑ;1;FALSE;;;;52;21;16;
SA;257010045;KM;8881;8;Kirkkonummi;Koivistosveden;6681086;3360996;35;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay pendant;Saviesine, riipus;1;TRUE;30;29;8;;;;
SA;577010024;KM;8955;130;Paimio;Toispuolojannummi;6716468;3263603;40,5;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Paimio clay idol;Savi-idoli, Paimio;1;FALSE;;;;39;24;14;
SA;577010024;KM;8955;153;Paimio;Toispuolojannummi;6716468;3263603;40,5;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Paimio clay idol;Savi-idoli, Paimio;1;FALSE;;;;31;24;13;
SA;577010024;KM;8955;154;Paimio;Toispuolojannummi;6716468;3263603;40,5;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Paimio clay idol;Savi-idoli, Paimio;1;FALSE;;;;27;18;8;
SA;577010024;KM;8955;188;Paimio;Toispuolojannummi;6716468;3263603;40,5;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Paimio clay idol;Savi-idoli, Paimio;1;FALSE;;;;19;14;5;
SA;577010024;KM;8955;199;Paimio;Toispuolojannummi;6716468;3263603;40,5;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Paimio clay idol;Savi-idoli, Paimio;1;FALSE;;;;30;21;9;
SA;577010024;KM;8955;209;Paimio;Toispuolojannummi;6716468;3263603;40,5;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Paimio clay idol;Savi-idoli, Paimio;1;FALSE;;;;29;28;9;
SA;577010024;KM;8955;237;Paimio;Toispuolojannummi;6716468;3263603;40,5;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay bead;Saviesine, helmi;1;TRUE;19;19;17;;;;
SA;749010001;KM;8981;18;SiilinjÑrvi;PîljÑ;7002000;3531950;95;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay pendant;Saviesine, riipus;1;FALSE;;;;42;22;8;
SA;740010001;KM;9085;25;Savonlinna;PÑÑskylahti;6862231;3602745;85;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Bent clay idol;Savi-idoli, kÑyrÑ;1;TRUE;20;21;15;;;;
SA;424010006;KM;9090;36;Loviisa;Andersby Kvarnbacken;6717720;3453980;25;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay spoon;Saviesine, lusikka;2;FALSE;;;;39;15;12;
SA;246010004;KM;9135;55;Savonlinna;Kankaanlaita a;6876514;3616302;80;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay artefact fragment;Saviesineen katkelma;1;FALSE;;;;42;25;16;
SA;407010012;KM;9214;202;LapinjÑrvi;Malm (Malmbacken/Malms);6725780;3458000;25;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay artefact fragment;Saviesineen katkelma;1;FALSE;;;;29;18;15;
SA;424010006;KM;9273;260;Loviisa;Andersby Kvarnbacken;6717720;3453980;25;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Paimio clay idol;Savi-idoli, Paimio;1;FALSE;;;;31;17;7;koristeltu
SA;424010006;KM;9273;308;Loviisa;Andersby Kvarnbacken;6717720;3453980;25;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Paimio clay idol;Savi-idoli, Paimio;2;FALSE;;;;16;16;3;koristeltu
SA;RÑisÑlÑ 18;KM;9277;22;RÑisÑlÑ;VirtelÑ PitkÑjÑrvi;6767059;3644914;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Bent clay idol;Savi-idoli, kÑyrÑ;1;FALSE;41;38;22;;;;selkÑharjallinen, nenÑ katkennut
SA;RÑisÑlÑ 18;KM;9277;23;RÑisÑlÑ;VirtelÑ PitkÑjÑrvi;6767059;3644914;;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Other clay idol;Savi-idoli;1;FALSE;;;;19;18;11;kÑyrÑn idolin jalkaosa? Koristelua
SA;RÑisÑlÑ 18;KM;9277;24;RÑisÑlÑ;VirtelÑ PitkÑjÑrvi;6767059;3644914;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay artefact fragment;Saviesineen katkelma;1;FALSE;;;;35;20;19;nuijamainen kappale
SA;RÑisÑlÑ 18;KM;9277;24;RÑisÑlÑ;VirtelÑ PitkÑjÑrvi;6767059;3644914;;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Other clay idol;Savi-idoli;2;FALSE;;;;32;22;14;ison idolin jalka?
SA;RÑisÑlÑ 18;KM;9277;24;RÑisÑlÑ;VirtelÑ PitkÑjÑrvi;6767059;3644914;;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay bar;Saviesine, tanko;1;FALSE;;;;32;11;11;
SA;577010024;KM;9390;90;Paimio;Toispuolojannummi;6716468;3263603;40,5;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Paimio clay idol;Savi-idoli, Paimio;1;FALSE;;;;20;13;11;koristeltu
SA;577010024;KM;9390;107;Paimio;Toispuolojannummi;6716468;3263603;40,5;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Paimio clay idol;Savi-idoli, Paimio;1;FALSE;;;;29;25;7;koristeltu
SA;577010024;KM;9390;108;Paimio;Toispuolojannummi;6716468;3263603;40,5;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Paimio clay idol;Savi-idoli, Paimio;1;FALSE;;;;34;25;20;koristeltu
SA;577010024;KM;9390;109;Paimio;Toispuolojannummi;6716468;3263603;40,5;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Paimio clay idol;Savi-idoli, Paimio;1;FALSE;;;;38;25;22;koristeltu
SA;577010024;KM;9390;116;Paimio;Toispuolojannummi;6716468;3263603;40,5;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Paimio clay idol;Savi-idoli, Paimio;1;FALSE;;;;30;25;20;
SA;577010024;KM;9390;155;Paimio;Toispuolojannummi;6716468;3263603;40,5;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Paimio clay idol;Savi-idoli, Paimio;1;FALSE;;;;36;16;14;koristeltu pienillÑ rei'illÑ
SA;577010024;KM;9390;158;Paimio;Toispuolojannummi;6716468;3263603;40,5;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Paimio clay idol;Savi-idoli, Paimio;1;FALSE;;;;31;29;10;koristeltu
SA;577010024;KM;9390;182;Paimio;Toispuolojannummi;6716468;3263603;40,5;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay artefact fragment;Saviesineen katkelma;1;FALSE;;;;42;25;14;
SA;577010024;KM;9390;194;Paimio;Toispuolojannummi;6716468;3263603;40,5;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Clay artefacts;Clay artefact;Other clay artefact;Saviesine;1;FALSE;47;35;30;;;;"ontto ""pallo"""
SA;577010024;KM;9390;230;Paimio;Toispuolojannummi;6716468;3263603;40,5;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Paimio clay idol;Savi-idoli, Paimio;1;FALSE;;;;27;16;11;koristeltu, esineen pÑÑssÑ kolme koloa
SA;577010024;KM;9390;245;Paimio;Toispuolojannummi;6716468;3263603;40,5;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Paimio clay idol;Savi-idoli, Paimio;1;FALSE;;;;28;15;11;koristeltu
SA;577010024;KM;9390;246;Paimio;Toispuolojannummi;6716468;3263603;40,5;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Paimio clay idol;Savi-idoli, Paimio;2;FALSE;;;;14;11;4;koristeltu
SA;407010007;KM;9404;28;LapinjÑrvi;Hannusbacken;6724220;3459320;27,5;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Paimio clay idol;Savi-idoli, Paimio;1;FALSE;;;;35;23;14;koristeltu jalkaosa
SA;407010007;KM;9404;156;LapinjÑrvi;Hannusbacken;6724220;3459320;27,5;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Paimio clay idol;Savi-idoli, Paimio;1;FALSE;;;;25;22;10;koristeltu
SA;Johannes 17;KM;9406;15;Johannes;VÑntsi;6714200;3598592;;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Zoomorphic clay idol;Savi-idoli, elÑin;1;FALSE;;;;32;29;18;hevonen?
SA;Johannes 17;KM;9406;79;Johannes;VÑntsi;6714200;3598592;;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;Clay artefacts;Clay with teeth marks;Clay with teeth marks;Purusavi;1;FALSE;44;18;5;;;;saviklîntti, jossa hampaanjÑlkiÑ
SA;Johannes 17;KM;9416;5;Johannes;VÑntsi;6714200;3598592;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay artefact fragment;Saviesineen katkelma;1;FALSE;;;;20;12;8;savirengas?
SA;926010005;KM;9552;25;Raahe;Aartokangas;7158338;3401890;85;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay bar;Saviesine, tanko;1;FALSE;;;;20;8;7;
SA;49010030;KM;9620;3;Espoo;LockkÑrrshage;6680704;3363001;25;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Paimio clay idol;Savi-idoli, Paimio;2;FALSE;;;;36;26;24;"idolihahmon ""vyîtÑrî""?, viivakoristelua"
SA;49010030;KM;9620;3;Espoo;LockkÑrrshage;6680704;3363001;25;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Paimio clay idol;Savi-idoli, Paimio;2;FALSE;;;;35;31;7;"idolihahmon ""selkÑ""?, viivakoristelua"
SA;92010013;KM;9663;27;Vantaa;Storskogen;6691203;3392353;25;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay artefact fragment;Saviesineen katkelma;1;FALSE;;;;25;18;13;
SA;92010013;KM;9663;38;Vantaa;Storskogen;6691203;3392353;25;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay bar;Saviesine, tanko;1;FALSE;;;;22;9;8;
SA;92010013;KM;9663;61;Vantaa;Storskogen;6691203;3392353;25;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay bar;Saviesine, tanko;1;FALSE;;;;21;9;8;tangon katkelma
SA;92010013;KM;9663;106;Vantaa;Storskogen;6691203;3392353;25;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay bar;Saviesine, tanko;1;FALSE;;;;28;9;6;
SA;92010013;KM;9663;140;Vantaa;Storskogen;6691203;3392353;25;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay artefact fragment;Saviesineen katkelma;1;FALSE;;;;19;18;10;
SA;407010011;KM;9759;164;LapinjÑrvi;Gammelby;6725600;3455740;25;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Paimio clay idol;Savi-idoli, Paimio;2;FALSE;;;;21;19;9;jalkaosa, jossa koristelua
SA;407010008;KM;9942;193;LapinjÑrvi;HemÑngen;6724900;3457280;30;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Paimio clay idol;Savi-idoli, Paimio;2;FALSE;;;;29;24;5;viivakoristelua
SA;18010071;KM;10030;8;Askola;Honkaniemi;6713500;3432440;20;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay bead;Saviesine, helmi;1;TRUE;25;22;22;;;;
SA;Johannes 13;KM;10441;13;Johannes;Mutala;6717904;3593778;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay ball;Saviesine, pallo;1;TRUE;25;21;17;;;;
SA;Johannes 20;KM;10442;3;Johannes;Myllykangas;6713377;3598990;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay bar;Saviesine, tanko;1;FALSE;;;;29;14;12;
SA;319010011;KM;10867;21;SÑkylÑ;Parkkila;6794984;3243174;44;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay artefact fragment;Saviesineen katkelma;1;FALSE;;;;29;23;18;
SA;503010040;KM;10903;117;MynÑmÑki;Pyheensilta, Laajoen luoteispuoli;6747129;3223642;30;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay with teeth marks;Clay with teeth marks;Purusavi;1;TRUE;29;17;11;;;;hampaanjÑlkiÑ
