Phase;Site id;Municipality;Site name;Collection;Main number;Subnumber;p;i;z;m1;m2;m3;n1;n2;n3;n4;p1;p2;r1;r2;Category;Type;Subtype;Subtype 2;Subtype (Finnish);Certainty;Subtype 2 (Finnish);Integrity;Stone art (Finnish);Length (mm);Width (mm);Thickness (mm);Fragment length (mm);Fragment width (mm);Fragment thickness (mm);Other notes (Finnish);PhotoID;X;Y
IA;uusi 7281;Pori;Rudanmaa;SatM;2602;;6840091;3237213;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;kiilleliuske;39;35;8;;;;;SatM 2602;22,04645408;61,57844459
IA;uusi 7285;Pori;Kaupunki;SatM;3033;;6831151;3223099;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;kiilleliuske;44;42;8;;;;;SatM 3033;21,79526348;61,48867797
IA;1000008628;Hämeenkyrö;Jaskara;SatM;3036;;6831620;3301830;102,5;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;kvartsiitti;97;41;22;;;;;SatM 3036;23,26927384;61,541253
IA;uusi 7347;Nakkila;Lammaisten koski;SatM;5550;;6813065;3238582;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;hiekkakivi;43;43;17;;;;;SatM 5550;22,11022988;61,33774208
IA;uusi 7354;Kankaanpää;Vihteljärvi;SatM;6155;;6856540;3263834;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;kvartsiitti;90;64;28;;;;;SatM 6155;22,52476438;61,74283107
IA;uusi 7463;Kankaanpää;Vihteljärvi;SatM;7244;;6852548;3262282;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;2;;TRUE;harmaa kivilaji;54;40;26;;;;;SatM 7244;22,50070264;61,70615971
IA;uusi 7472;Kankaanpää;Vihteljärvi;SatM;7254;;6856540;3263834;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;2;;TRUE;kiilleliuske;67;67;12;;;;;SatM 7254;22,52476438;61,74283107
IA;1000013541;Karvia;Patoranta;SatM;7629;;6898022;3267974;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;kvartsiitti;82;43;28;;;;;SatM 7629;22,5491174;62,11647363
IA;uusi 7546;Kankaanpää;Lauhala;SatM;7707;;6894704;3256738;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;2;;TRUE;kvartsiitti;102;41;36;;;;;SatM 7707;22,33913069;62,07971813
IA;uusi 7654;Kankaanpää;Vihteljärven kylä;SatM;8125;;6857250;3264491;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;porfyyri;92;43;27;;;;;SatM 8125;22,53623928;61,74958745
IA;uusi 7655;Huittinen;?;SatM;8126;;6776539;3266856;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;kvartsiitti;82;38;33;;;;;SatM 8126;22,68187441;61,02885724
IA;uusi 7667;Kauhajoki;Kauhajoen kylä;SatM;8190;;6933737;3251161;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;kvartsiitti;93;56;23;;;;;SatM 8190;22,17721643;62,42508736
IA;uusi 7711;Ilmajoki;Kokkolan kylä;SatM;8240;;6962289;3268094;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;kvartsiitti;91;41;28;;;;;SatM 8240;22,46513223;62,69140839
IA;uusi 7762;Kurikka;?;SatM;8506;;6939103;3281862;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;kvartsiitti;85;41;28;;;;;SatM 8506;22,76295643;62,49237479
IA;uusi 7851;Sastamala;Ulvin kylä;SatM;8749;;6806917;3274241;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;kvartsiitti;72;32;26;;;;;SatM 8749;22,78190198;61,3050366
IA;uusi 7831;Eura;Panelian kylä;SatM;8834;;6800155;3230295;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;kvartsiitti;98;43;31;;;;;SatM 8834;21,97454448;61,21668591
IA;uusi 7871;Sastamala;Vesunnin kylä;SatM;8896;;6828615;3278564;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;hiekkakivi;85;43;23;;;;;SatM 8896;22,83654684;61,50171776
IA;uusi 7867;Sastamala;Kairilan kylä;SatM;8912;;6824912;3296299;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;kvartsiitti;80;51;27;;;;;SatM 8912;23,17290752;61,47831364
IA;uusi 7874;Sastamala;?;SatM;8919;;6829376;3287531;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;harmaa liuske;57;52;8;;;;;SatM 8919;23,00364589;61,51356134
IA;uusi 7874;Sastamala;?;SatM;8919;;6829376;3287531;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;harmaa liuske;57;52;8;;;;;SatM 8919;23,00364589;61,51356134
IA;1000008652;Hämeenkyrö;Enonselkä;SatM;8998;;6834720;3304150;60;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;musta liuske;52;52;14;;;;;SatM 8998;23,30950573;61,57019747
IA;1000008652;Hämeenkyrö;Enonselkä;SatM;8999;;6834720;3304150;60;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;kiilleliuske;55;51;12;;;;;SatM 8999;23,30950573;61,57019747
IA;uusi 7880;Hämeenkyrö;?;SatM;9039;;6832765;3300586;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;kvartsiitti;77;41;28;;;;;SatM 9039;23,24469392;61,55086505
IA;uusi 7822;Hämeenkyrö;Lemmakkalan kylä;SatM;9043;;6835356;3306151;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Stone artefacts;Grinding stone;;;Kuutiokivi;1;;TRUE;hiekkakivi;65;65;61;;;;;SatM 9043;23,34641696;61,57690434
IA;uusi 8189;Ikaalinen;Sammin kylä;SatM;9147;;6856780;3285931;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;kvartsiitti;92;33;18;;;;;SatM 9147;22,94160125;61,75797504
IA;uusi 8197;Ikaalinen;Ikaalinen;SatM;9150;;6859881;3291779;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;kvartsiitti;79;43;26;;;;;SatM 9150;23,04850024;61,78896264
IA;uusi 8219;Ikaalinen;?;SatM;9154;;6866215;3290694;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;kvartsiitti;91;46;30;;;;;SatM 9154;23,02064102;61,84506935
IA;uusi 8219;Ikaalinen;?;SatM;9154;;6866215;3290694;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;kvartsiitti;91;46;30;;;;;SatM 9154;23,02064102;61,84506935
IA;uusi 8219;Ikaalinen;Höytälän kylä;SatM;9154;;6866215;3290694;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;kvartsiitti;91;46;30;;;;;SatM 9154;23,02064102;61,84506935
IA;uusi 8219;Ikaalinen;?;SatM;9154;;6866215;3290694;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;kvartsiitti;91;46;30;;;;;SatM 9154;23,02064102;61,84506935
IA;uusi 8191;Ikaalinen;?;SatM;9164;;6857492;3293013;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;kiilleliuske;52;52;10;;;;;SatM 9164;23,07456553;61,76824634
IA;uusi 8191;Ikaalinen;Hietalan kylä;SatM;9164;;6857492;3293013;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;kiilleliuske;52;52;10;;;;;SatM 9164;23,07456553;61,76824634
IA;uusi 8191;Ikaalinen;Läykin kylä;SatM;9164;;6857492;3293013;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;kiilleliuske;52;52;10;;;;;SatM 9164;23,07456553;61,76824634
IA;uusi 8191;Ikaalinen;?;SatM;9164;;6857492;3293013;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;kiilleliuske;52;52;10;;;;;SatM 9164;23,07456553;61,76824634
IA;uusi 8191;Ikaalinen;Ikaalinen;SatM;9164;;6857492;3293013;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;kiilleliuske;52;52;10;;;;;SatM 9164;23,07456553;61,76824634
IA;uusi 8191;Ikaalinen;?;SatM;9164;;6857492;3293013;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;kiilleliuske;52;52;10;;;;;SatM 9164;23,07456553;61,76824634
IA;uusi 8191;Ikaalinen;?;SatM;9164;;6857492;3293013;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;kiilleliuske;52;52;10;;;;;SatM 9164;23,07456553;61,76824634
IA;uusi 8191;Ikaalinen;?;SatM;9164;;6857492;3293013;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;kiilleliuske;52;52;10;;;;;SatM 9164;23,07456553;61,76824634
IA;uusi 8191;Ikaalinen;?;SatM;9165;;6857492;3293013;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;kiilleliuske;52;52;10;;;;;SatM 9165;23,07456553;61,76824634
IA;uusi 8191;Ikaalinen;?;SatM;9165;;6857492;3293013;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;kiilleliuske;52;52;10;;;;;SatM 9165;23,07456553;61,76824634
IA;uusi 8191;Ikaalinen;?;SatM;9165;;6857492;3293013;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;kiilleliuske;52;52;10;;;;;SatM 9165;23,07456553;61,76824634
IA;uusi 8191;Ikaalinen;?;SatM;9165;;6857492;3293013;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;kiilleliuske;52;52;10;;;;;SatM 9165;23,07456553;61,76824634
IA;uusi 8191;Ikaalinen;Ikaalinen;SatM;9165;;6857492;3293013;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;kiilleliuske;52;52;10;;;;;SatM 9165;23,07456553;61,76824634
IA;uusi 8191;Ikaalinen;?;SatM;9165;;6857492;3293013;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;kiilleliuske;52;52;10;;;;;SatM 9165;23,07456553;61,76824634
IA;uusi 8191;Ikaalinen;Hietalan kylä;SatM;9165;;6857492;3293013;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;kiilleliuske;52;52;10;;;;;SatM 9165;23,07456553;61,76824634
IA;uusi 8191;Ikaalinen;Läykin kylä;SatM;9165;;6857492;3293013;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;kiilleliuske;52;52;10;;;;;SatM 9165;23,07456553;61,76824634
IA;uusi 8191;Ikaalinen;?;SatM;9166;;6857492;3293013;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;kiilleliuske;57;57;10;;;;;SatM 9166;23,07456553;61,76824634
IA;uusi 8191;Ikaalinen;?;SatM;9166;;6857492;3293013;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;kiilleliuske;57;57;10;;;;;SatM 9166;23,07456553;61,76824634
IA;uusi 8191;Ikaalinen;?;SatM;9166;;6857492;3293013;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;kiilleliuske;57;57;10;;;;;SatM 9166;23,07456553;61,76824634
IA;uusi 8191;Ikaalinen;?;SatM;9166;;6857492;3293013;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;kiilleliuske;57;57;10;;;;;SatM 9166;23,07456553;61,76824634
IA;uusi 8191;Ikaalinen;Läykin kylä;SatM;9166;;6857492;3293013;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;kiilleliuske;57;57;10;;;;;SatM 9166;23,07456553;61,76824634
IA;uusi 8191;Ikaalinen;?;SatM;9166;;6857492;3293013;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;kiilleliuske;57;57;10;;;;;SatM 9166;23,07456553;61,76824634
IA;uusi 8191;Ikaalinen;Hietalan kylä;SatM;9166;;6857492;3293013;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;kiilleliuske;57;57;10;;;;;SatM 9166;23,07456553;61,76824634
IA;uusi 8191;Ikaalinen;Ikaalinen;SatM;9166;;6857492;3293013;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;kiilleliuske;57;57;10;;;;;SatM 9166;23,07456553;61,76824634
IA;uusi 8256;Parkano;Kuivaskylä;SatM;9191;;6900018;3290944;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;kvartsiitti;82;43;18;;;;;SatM 9191;22,98570099;62,14778309
IA;uusi 8257;Parkano;Kankarin kylä;SatM;9272;;6903754;3296238;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;kvartsiitti;87;48;31;;;;;SatM 9272;23,08265956;62,18413042
IA;uusi 8257;Parkano;?;SatM;9272;;6903754;3296238;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;kvartsiitti;87;48;31;;;;;SatM 9272;23,08265956;62,18413042
IA;uusi 7974;Säkylä;?;SatM;9299;;6794641;3243725;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;kvartsiitti;68;35;31;;;;;SatM 9299;22,23105773;61,17640005
IA;uusi 7974;Säkylä;?;SatM;9299;;6794641;3243725;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;kvartsiitti;68;35;31;;;;;SatM 9299;22,23105773;61,17640005
IA;uusi 7974;Säkylä;?;SatM;9299;;6794641;3243725;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;kvartsiitti;68;35;31;;;;;SatM 9299;22,23105773;61,17640005
IA;uusi 7974;Säkylä;Tuiskulan kylä;SatM;9299;;6794641;3243725;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;kvartsiitti;68;35;31;;;;;SatM 9299;22,23105773;61,17640005
IA;uusi 8208;Kankaanpää;Hongiston kylä;SatM;9308;;6863752;3257475;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;kiilleliuske;53;53;12;;;;;SatM 9308;22,3951495;61,80336335
IA;uusi 8208;Kankaanpää;?;SatM;9308;;6863752;3257475;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;kiilleliuske;53;53;12;;;;;SatM 9308;22,3951495;61,80336335
IA;uusi 8208;Kankaanpää;Hirvikosken kylä;SatM;9308;;6863752;3257475;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;kiilleliuske;53;53;12;;;;;SatM 9308;22,3951495;61,80336335
IA;uusi 8208;Kankaanpää;Kirkonkylä;SatM;9308;;6863752;3257475;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;kiilleliuske;53;53;12;;;;;SatM 9308;22,3951495;61,80336335
IA;uusi 8208;Kankaanpää;?;SatM;9308;;6863752;3257475;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;kiilleliuske;53;53;12;;;;;SatM 9308;22,3951495;61,80336335
IA;uusi 8208;Kankaanpää;?;SatM;9308;;6863752;3257475;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;kiilleliuske;53;53;12;;;;;SatM 9308;22,3951495;61,80336335
IA;uusi 8208;Kankaanpää;?;SatM;9308;;6863752;3257475;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;kiilleliuske;53;53;12;;;;;SatM 9308;22,3951495;61,80336335
IA;uusi 8208;Kankaanpää;?;SatM;9308;;6863752;3257475;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;kiilleliuske;53;53;12;;;;;SatM 9308;22,3951495;61,80336335
IA;uusi 8208;Kankaanpää;Kankaanpään kylä;SatM;9308;;6863752;3257475;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;kiilleliuske;53;53;12;;;;;SatM 9308;22,3951495;61,80336335
IA;uusi 8208;Kankaanpää;?;SatM;9308;;6863752;3257475;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;kiilleliuske;53;53;12;;;;;SatM 9308;22,3951495;61,80336335
IA;uusi 8208;Kankaanpää;Riihimäki;SatM;9308;;6863752;3257475;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;kiilleliuske;53;53;12;;;;;SatM 9308;22,3951495;61,80336335
IA;uusi 8208;Kankaanpää;Riihimäki;SatM;9308;;6863752;3257475;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;kiilleliuske;53;53;12;;;;;SatM 9308;22,3951495;61,80336335
IA;uusi 8208;Kankaanpää;Kirkonkylä;SatM;9308;;6863752;3257475;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;kiilleliuske;53;53;12;;;;;SatM 9308;22,3951495;61,80336335
IA;uusi 8208;Kankaanpää;Hirvikosken kylä;SatM;9308;;6863752;3257475;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;kiilleliuske;53;53;12;;;;;SatM 9308;22,3951495;61,80336335
IA;uusi 8245;Isojoki;Kortesjärven kylä;SatM;9309;;6890993;3242760;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;kvartsiitti;103;51;28;;;;;SatM 9309;22,07802455;62,03728034
IA;uusi 7950;Säkylä;Yttilän kylä;SatM;9657;;6786796;3251019;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;kvartsiitti;75;40;24;;;;;SatM 9657;22,37646518;61,11092865
