Phase;Site id;Municipality;Site name;Collection;Main number;Subnumber;p;i;z;Category;Type (Finnish);Preroman IA;Early Roman IA;Late Roman IA;Migration period;Merovingian period;Viking period;Crusade period;1100-1300;1400-1500;Settlement site;Cremation cemetery;Inhumation cemetery;Stray find;Cairn;Hoard;Other context;Certainty;Integrity;Length (mm);Width (mm);Thickness (mm);Fragment length (mm);Fragment width (mm);Fragment thickness (mm);Other notes (Finnish);PhotoID;X;Y
IA;165010069;Janakkala;Taurula;KM;24745;128;6757104;3367519;87;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1;TRUE;105;;;;;;Useasta palasta liimattu. Toisella puolella matalia painanteita, mutta en pitäisi varsinaisina koristeina;KM 24745_128;24,55557343;60,90132726
IA;165010069;Janakkala;Taurula;KM;24745;13;6757104;3367519;87;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1;FALSE;;;;;;;Fragmentaarinen, yhdeltä sivulta hieman kuonaantunut.;KM 24745_13;24,55557343;60,90132726
IA;165010069;Janakkala;Taurula;KM;24745;13;6757104;3367519;87;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1;FALSE;;;;;;;Fragmentaarinen, yhdeltä sivulta hieman kuonaantunut.;KM 24745_13;24,55557343;60,90132726
IA;165010069;Janakkala;Taurula;KM;24745;128;6757104;3367519;87;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1;TRUE;105;;;;;;Useasta palasta liimattu. Toisella puolella matalia painanteita, mutta en pitäisi varsinaisina koristeina;KM 24745_128;24,55557343;60,90132726
IA;210010012;Hämeenlinna;Peltokutila;KM;23619;1;6777451;3345746;84;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;1;TRUE;120;105;39;;;;Toiselta puolelta kuonaantunut. Paikalla muutenkin sepäntyöhön viittaavia merkkejä??? Ks. Löytöluetteloa.;KM 23619_1;24,13852812;61,07582215
IA;210010012;Hämeenlinna;Peltokutila;KM;23619;1;6777451;3345746;84;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;1;TRUE;120;105;39;;;;Toiselta puolelta kuonaantunut. Paikalla muutenkin sepäntyöhön viittaavia merkkejä??? Ks. Löytöluetteloa.;KM 23619_1;24,13852812;61,07582215
IA;220010002;Raasepori;Domargård I;KM;21634;1580;6663430;3312339;25;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;1;FALSE;;;;;;;1 kpl fragment.;KM 21634_1580;23,62884517;60,03980989
IA;220010002;Raasepori;Domargård I;KM;21634;1652;6663430;3312339;25;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;1;FALSE;;;;;;;9 kpl fragmentaarisia, Osa kuvattu.;KM 21634_1652;23,62884517;60,03980989
IA;220010002;Raasepori;Domargård I;KM;21634;1295;6663430;3312339;25;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;1;TRUE;105;;35;;;;Melkein kokonainen, paloista koottu. reiän halk. 15 mm. Toisella puolella kaski kuoppariviä ympäröi reikää. Vastakkaisella puolella sormen levyinen painanneura.;KM 21634_1295;23,62884517;60,03980989
IA;220010002;Raasepori;Domargård I;KM;21634;9;6663430;3312339;25;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;1;FALSE;;;;;;;2 kpl, fragment.;KM 21634_9;23,62884517;60,03980989
