Phase;Site id;Municipality;Site name;Collection;Main number;Subnumber;p;i;z;m1;m2;m3;n1;n2;n3;n4;p1;p2;r1;r2;Category;Type;Subtype;Subtype 2;Subtype (Finnish);Certainty;Subtype 2 (Finnish);Integrity;Stone art (Finnish);Length (mm);Width (mm);Thickness (mm);Fragment length (mm);Fragment width (mm);Fragment thickness (mm);Other notes (Finnish)
IA;porvoo 14;PyhtÑÑ;Ahvenkoski;BM;23;;6710116;3471482;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;2;;TRUE;;40;33;;;;;tiedot kortista
IA;porvoo 0;Porvoo;;BM;24;;6698998;3426655;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;2;;FALSE;;32;28;;;;;tiedot kortista
IA;porvoo 41;Porvoo;Kulloo-Nyby;BM;55,9;;6691719;3416751;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;kvartsiitti;80;48;25;;;;tiedot kortista
IA;porvoo 53;Porvoo;Onas;BM;69,73;;6677703;3420596;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;FALSE;kvartsiitti;83;41;29;;;;tiedot kortista
IA;uusi 8396;Ruotsi;;BM;4639;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;kvartsiitti;;;;;;;
IA;porvoo 0;Porvoo;;BM;4640;;6698998;3426655;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;2;;TRUE;harmaa kivilaji;110;57;30;;;;
IA;halikko 0;Salo;Halikko;Hal;1908;;6705094;3283817;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;hiekkakivi;90;63;45;;;;
IA;1000016686;Kuopio;Taivalharju;KHMESIE;1755;;6981080;3535150;85;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;kvartsiitti;89;50;45;;;;
IA;uusi 8382;tuntematon;;KHMESIE;1973;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;kvartsiitti;117;41;22;;;;
IA;uusi 8382;tuntematon;;KHMESIE;2011;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;2;;FALSE;vuolukivi;39;37;11;;;;
IA;1000013108;Kuopio;Laaja;KHMESIE;2632;;7005550;3562600;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;3;;TRUE;vuolukivi;54;53;13;;;;EpÑsymmetrinen. Toiselle puolelle porattu reiÑn viereen pieni, matala kuoppa.
IA;kuopio230;Rautalampi;;KHMESIE;2811;;6946300;3491723;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;2;;TRUE;kiilleliuske;55;52;12;;;;
IA;kuopio118;Pielavesi;Jauhiala;KHMESIE;2865;;7014439;3487886;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;2;;TRUE;kiilleliuske;50;45;13;;;;EpÑsymmetrinen ja osin hiomaton.
IA;kuopio29;Kuopio;;KHMESIE;2985;;7011757;3554775;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;2;;TRUE;vuolukivi;42;41;12;;;;Molemmille lappeilel porattu koristeeksi matalia kuopanteita. ReiÑn lÑpimitta 7 mm.
IA;uusi 8382;tuntematon;;KHMESIE;4331;5;;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;2;;FALSE;kiilleliuske;50;44;10;;;;"EpÑsymmetrinen. ""Toisella lappeella jÑlkiÑ reiÑn ympillÑ suuremman reiÑn poraamisesta (tekele?""."
IA;uusi 8382;tuntematon;;KHMESIE;4333;90;;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;3;;TRUE;vuolukivi;58;57;13;;;;ReiÑn lÑpimitta jopa 19 mm. Sen ympÑrilel porattu neljÑ pientÑ reikÑÑ epÑtasaisiin vÑlein. Reunassa tehty lovi.
IA;uusi 8382;tuntematon;;KHMESIE;4333;91;;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;3;;FALSE;vuolukivi;61;60;14;;;;ReiÑn lÑpimitta 15 mm. Reunoissa tiheÑssÑ epÑsÑÑnnîllisin vÑlein tehtyjÑ lovia. Yhdelle lappeelle uurrettu rengas reiÑn ympÑrille ja lisÑksi V-kirjain sekÑ viivoja.
IA;uusi 8382;tuntematon;;KHMESIE;4442;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;1;;TRUE;vuolukivi;49;47;14;;;;Lappeille uurrettu numroita ja kirjaimia.
IA;uusi 8382;tuntematon;;KHMESIE;4476;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;1;;FALSE;;60;57;27;;;;
IA;uusi 8382;tuntematon;;KHMESIE;4679;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;2;;TRUE;vuolukivi;56;51;12;;;;
IA;uusi 8382;tuntematon;;KHMESIE;4706;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;2;;FALSE;vuolukivi;;;;45;39;10;Toisella lappeella auringonsÑdetyyppistÑ uurrekoristelua.
IA;1000005035;Rautalampi;Koskeloniemi;KHMESIE;5973;;6964540;3474630;111;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;2;;TRUE;kiilleliuske;58;56;7;;;;ReiÑn lÑpimitta 8 mm.
IA;uusi 8309;Sastamala;HalmesmÑki;Kiik;1071;;6823855;3264567;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;;70;38;21;;;;nÑhty kortti Satakunnan museossa
IA;kuopio134;Kiuruvesi;Paala;KIUR;124;2;7061189;3480677;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;kvartsiitti;72;50;26;0;0;0;
IA;kuopio134;Kiuruvesi;Paala;KIUR;124;39;7061189;3480677;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;1;;FALSE;kiilleliuske;42;42;10;0;0;0;
IA;kuopio134;Kiuruvesi;Paala;KIUR;124;40;7061189;3480677;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;1;;FALSE;kiillepitoinen kivi;58;55;14;0;0;0;
IA;kuopio134;Kiuruvesi;Paala;KIUR;124;41;7061189;3480677;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;1;;FALSE;?;44;39;15;0;0;0;
IA;kuopio134;Kiuruvesi;Paala;KIUR;124;42;7061189;3480677;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;1;;FALSE;?;0;0;0;47;40;27;
IA;kuopio134;Kiuruvesi;Paala;KIUR;124;43;7061189;3480677;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;1;;FALSE;kiilleliuske;47;45;7;0;0;0;
IA;a450;Ilmajoki;Ala-Fossila (Fossila);KM;1031;;6968544;3274272;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;;;TRUE;;;;;;;;puuttuu
IA;a462;JÑmijÑrvi;JÑmijÑrvi;KM;1070;;6864558;3273175;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;;;TRUE;;100;48;35;;;;
IA;a703;Saltvik;Rangsby;KM;1523;;6704926;3116941;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;;;FALSE;;120;34;24;;;;
IA;Karjala 218;RÑisÑlÑ;Rautakopra;KM;1922;407;6768371;3649519;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;1;;FALSE;vuolukivi;38;34;13;;;;
IA;uusi 6016;Lapua;TyniÑlÑ;KM;2038;18;6989175;3297346;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;3;;FALSE;hiekkakivi;106;31;13;;;;Mahdollisesti historiallista alkuperÑÑ.
IA;108010028;HÑmeenkyrî;Lehtiniemi;KM;2047;4;6832238;3300948;65;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;2;;FALSE;harmaa liuske;49;45;10;;;;Esine symmetrinen, mutta ei tÑysin pyîreÑ.
IA;uusi 6750;Paimio;Merisaaren talo;KM;6750;5;6712704;3263161;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;1;;TRUE;kiilleliuske;61;61;11;;;;
IA;776010020;Salo;KylÑpÑÑn Hankalanpelto;KM;7442;6;6700512;3309529;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;1;;TRUE;hiekkakivi;46;44;18;;;;
IA;1000003741;Kirkkonummi;StrandÑng;KM;7691;11;6681335;3361105;17;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;1;;TRUE;hiekkakivi;45;44;18;;;;
IA;Kaukola 19;Kaukola;J. Iivosen & S. Lankisen maat;KM;8199;26;6778739;3648504;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;1;;TRUE;kiilleliuske;48;48;10;;;;
IA;729010041;SaarijÑrvi;JÑnissaari;KM;8980;7;6957538;3416993;121;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;2;;TRUE;kiilleliuske;59;52;8;;;;
IA;259010025;Salo;SillanpÑÑn SeppÑ;KM;9154;4;6687120;3299790;37,5;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;2;;TRUE;kiilleliuske;49;45;8;;;;
IA;uusi 4118;SÑkkijÑrvi;Ristsatama;KM;9172;1;6713058;3557994;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;kvartsiitti;77;30;25;;;;
IA;233010010;Kauhava;Kriivarinpelto;KM;9428;2;7007777;3310915;55;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;1;;TRUE;musta liuske;48;47;5;;;;
IA;776010017;Salo;Mattilan kotopelto;KM;9786;3;6700753;3309740;55;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;2;;TRUE;kiilleliuske;50;46;14;;;;
IA;1000016867;LapinjÑrvi;NiderÜker;KM;9932;5;6719800;3458940;20;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;2;;TRUE;kiilleliuske;51;50;7;;;;
IA;319010011;SÑkylÑ;Parkkila;KM;10114;15;6794984;3243174;44;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;2;;TRUE;kiilleliuske;43;42;5;;;;
IA;1000009122;Keuruu;Iso-Moijanen;KM;10789;3;6902220;3366683;120;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;2;;TRUE;kiilleliuske;59;56;10;;;;
IA;1000009122;Keuruu;Iso-Moijanen;KM;10789;4;6902220;3366683;120;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;2;;TRUE;kiilleliuske;47;47;8;;;;
IA;uusi 3175;RÑisÑlÑ;PyhÑjÑrvi ym.;KM;11220;10;6760251;3649294;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;1;;TRUE;vihreÑliuske;42;42;7;;;;
IA;776010001;Salo;Mustionsuo koillinen alue;KM;11408;6;6702049;3308757;55;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;2;;FALSE;kiilleliuske;;;;51;29;6;
IA;uusi 3343;Salo;Piekkalanniemi;KM;11483;;6696260;3319206;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;1;;TRUE;kiilleliuske;50;47;8;;;;
IA;734010003;Salo;Myllypelto;KM;11916;7;6696508;3287934;25;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;2;;FALSE;kiilleliuske;;;;46;24;17;
IA;uusi 2946;Urjala;Honkola;KM;12027;;6784444;3309541;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;1;;TRUE;kiilleliuske;52;44;10;;;;
IA;uusi 2971;Alavus;Olkkonen;KM;12084;;6929922;3326100;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;1;;TRUE;kiilleliuske;46;43;6;;;;
IA;1000014206;Siikajoki;Ala-Haho;KM;12536;1;7188241;3397817;15;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;1;;TRUE;vuolukivi;38;39;13;;;;
IA;uusi 3584;Salo;Harjulan Iso-Niitty;KM;12822;12;6957522;3317923;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;2;;TRUE;kiilleliuske;59;43;9;;;;
IA;uusi 2111;Parikkala;;KM;13210;;6824026;3634747;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;1;;TRUE;harmaa kivilaji;30;30;12;;;;
IA;1000032962;Loppi                                                                                               ;LÑyliÑinen MÑenalusta                                                                               ;KM;13229;2;6726136;3362096;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;1;;TRUE;kiilleliuske;54;40;11;;;;
IA;uusi 2120;Akaa;Suoranta;KM;13249;2;6783289;3320267;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;1;;TRUE;musta liuske;57;57;6;;;;
IA;uusi 8395;Suomi;;KM;13689;19;;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;2;;TRUE;harmaa kivilaji;34;33;16;;;;
IA;777010049;Suomussalmi;MaikonsÑrkkÑ;KM;14835;1;7236703;3615912;199;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;3;;TRUE;graniitti;46;43;30;;;;iskunjÑlkiÑ
IA;853010031;Turku;SaramÑki;KM;15396;33;6718584;3243430;25;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;2;;FALSE;;;;;55;51;26;
IA;x452;KankaanpÑÑ;VihteljÑrvi Jussila;KM;15802;;6856474;3263800;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;2;;TRUE;;120;37;29;;;;
IA;92010004;Vantaa;Hîgbergsbacka B;KM;15814;;6687276;3397901;20;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;2;;FALSE;;86;42;26;;;;
IA;220010038;Raasepori;Storladsbacken;KM;15880;3;6665607;3315111;10;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;2;;FALSE;;91;58;35;;;;
IA;595010014;Pielavesi;Vanhapappila;KM;16705;3;7016439;3484244;105;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;1;;FALSE;musta liuske;40;37;6;;;;
IA;x380;Raasepori;Brutubîle Solbacka;KM;16870;;6654340;3283624;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;2;;FALSE;;84;50;42;;;;
IA;1000008335;Siuntio;Grotbacka 2;KM;17215;;6680818;3339497;26;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;1;;FALSE;harmaa liuske;45;45;9;;;;
IA;x262;Hankasalmi;SÑkinmÑki;KM;17639;;6929134;3474539;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;2;;TRUE;;77;41;25;;;;
IA;754010003;Kouvola;PenttilÑ;KM;17791;1;6729620;3486980;25;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;2;;TRUE;;80;43;30;;;;
IA;754010003;Kouvola;PenttilÑ;KM;17791;2;6729620;3486980;25;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;2;;TRUE;;70;51;26;;;;
IA;x74;Parikkala;Savikumpu, Harjula;KM;18553;;6835584;3635553;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;FALSE;;89;45;20;;;;
IA;uusi 1422;Kangasniemi;Nikki;KM;19190;;6868444;3477539;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;1;;FALSE;harmaa liuske;47;47;11;;;;
IA;885040004;Kokkola;Saari;KM;19594;;7073497;3342017;75;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;;124;40;27;;;;
IA;909040015;Kouvola;Kiljuniemi;KM;20061;;6757110;3493260;60;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;;79;44;26;;;;
IA;uusi 1586;Ikaalinen;Isotalo-Peltomaa;KM;20272;;6865003;3289733;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;2;;TRUE;kvartsiitti;;;;64;43;25;
IA;1000008830;Paimio;Talkooniitty;KM;20276;;6711496;3262653;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;2;;FALSE;kvartsiitti;78;48;34;;;;
IA;1000008829;Paimio;Pakurla 2;KM;20277;;6712020;3263017;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;2;;FALSE;kvartsiitti;88;54;35;;;;
IA;uusi 1591;Hirvensalmi;MÑentalo;KM;20297;;6831371;3487936;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;VÑrttinÑnpyîrÑ;1;;FALSE;kiilleliuske;57;57;11;;;;
IA;uusi 1599;Salo;Alkoholistihuoltola;KM;20323;;6680811;3271752;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;2;;FALSE;kvartsiitti;107;42;32;;;;
IA;777010118;Suomussalmi;Komeronniemi 1;KM;20368;;7228836;3598012;199;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;2;;FALSE;kvartsiitti;92;63;31;;;;
IA;777010116;Suomussalmi;Putikka;KM;20374;1;7216165;3597431;199;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;2;;FALSE;kvartsiitti;91;62;30;;;;
