Phase;Site id;Municipality;Site name;Collection;Main number;Subnumber;p;i;z;m1;m2;m3;n1;n2;n3;n4;p1;p2;r1;r2;Category;Type;Subtype;Subtype (Finnish);Other notes (Finnish);PhotoID;X;Y
BA;849010009;Toholampi;Nurmela/Riihimäki;KM;2678;567;7076704;3365179;92;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Wooden spoon;Wooden spoon;Puulusikka;Ua-18767: 2455+/-60 BP, 765-410 calBCE. Puulji mänty (Pinus silvestris);KM 2678_567;24,26352044;63,76519183
BA;uusi 1880;Paimio;Sähköyhtiöntie 4;KM;37946;;6713714;3262699;15;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Shaft of an axe;Shaft of an axe;Esimaaningan kirveen varren katkelma;Löydetty pronssikirveen putkesta in situ. Julkaisematon radiohiiliajoitus (Asplund et al. in press) n. 1620-1420 calBCE;KM 37946;22,6815504;60,46417567
