Phase,Site id,Municipality,Site name,Collection,Main number,Subnumber,p,i,z,m1,m2,m3,n1,n2,n3,n4,p1,p2,r1,r2,Category,Type,Subtype,Subtype (Finnish),Certainty,Integrity,Length (mm),Width (mm),Thickness (mm),Fragment length (mm),Fragment width (mm),Fragment thickness (mm),Other notes (Finnish),PhotoID,X,Y,Length,Mon1,Mon2,Mon3,Mon4,Mon5,Mon6,Main temper (Finnish),Other tempers (Finnish),Count (1-10),Count (10-100),Count (>100),Ajoitusperuste,Subtype 2,Subtype 2 (Finnish)
BA,Sa 20.11,Saltvik,,ÅM,225,87,6708778.0,3122759.0,,False,False,False,False,False,False,False,False,True,False,False,Birch bark tar,Caulking pitch,,Hartsitiiviste,1.0,False,,,,,,,,ÅM 225_87,"20,16329745","60,31392076",,,,,,,,,,,,,,,
BA,Sa 20.11,Saltvik,,ÅM,225,123,6708778.0,3122759.0,,False,False,False,False,False,False,False,False,True,False,False,Birch bark tar,Caulking pitch,,Hartsitiiviste,1.0,False,,,,,,,,ÅM 225_123,"20,16329745","60,31392076",,,,,,,,,,,,,,,
BA,Sa 20.11,Saltvik,,ÅM,225,127,6708778.0,3122759.0,,False,False,False,False,False,False,False,False,True,False,False,Birch bark tar,Chewing pitch,,Purupihka,1.0,False,,,,,,,mahdolliset hampaanjäljet,ÅM 225_127,"20,16329745","60,31392076",,,,,,,,,,,,,,,
BA,Sa 20.11,Saltvik,,ÅM,225,128,6708778.0,3122759.0,,False,False,False,False,False,False,False,False,True,False,False,Birch bark tar,Caulking pitch,,Hartsitiiviste,,False,,,,,,,,ÅM 225_128,"20,16329745","60,31392076",,,,,,,,,,,,,,,
BA,Sa 20.11,Saltvik,,ÅM,225,129,6708778.0,3122759.0,,False,False,False,False,False,False,False,False,True,False,False,Birch bark tar,Caulking pitch,,Hartsitiiviste,1.0,False,,,,,,,,ÅM 225_129,"20,16329745","60,31392076",,,,,,,,,,,,,,,
BA,Sa 20.11,Saltvik,,ÅM,225,151,6708778.0,3122759.0,,False,False,False,False,False,False,False,False,True,False,False,Birch bark tar,Chewing pitch,,Purupihka,1.0,False,,,,,,,pallomaisia kappaleita,ÅM 225_151,"20,16329745","60,31392076",,,,,,,,,,,,,,,
BA,Sa 20.11,Saltvik,,ÅM,225,188,6708778.0,3122759.0,,False,False,False,False,False,False,False,False,True,False,False,Birch bark tar,Caulking pitch,,Hartsitiiviste,1.0,False,,,,,,,,ÅM 225_188,"20,16329745","60,31392076",,,,,,,,,,,,,,,
BA,Sa 20.11,Saltvik,,ÅM,466,94,6708778.0,3122759.0,,False,False,False,False,False,False,False,False,True,False,False,Birch bark tar,Chewing pitch,,Purupihka,2.0,False,15.0,10.0,8.0,,,,pallomainen kappale,ÅM 466_94,"20,16329745","60,31392076",,,,,,,,,,,,,,,
BA,x683,Hattula,Lahdentaka,KM,14534,,6782686.0,3356094.0,,False,False,False,False,False,False,False,False,False,False,False,Bone artefacts,Bone artefact,Bone knife,Luuveitsi,2.0,True,,,,397.0,48.0,22.0,Löydetty hiekkamaasta. Pronssikautisuus kunnon perusteella hyvin kyseenalainen.,KM 14534,"24,32606027","61,12667329",,,,,,,,,,,,,,,
BA,x683,Hattula,Lahdentaka,KM,14534,,6782686.0,3356094.0,,False,False,False,False,False,False,False,False,False,False,False,Bone artefacts,Bone knife,Bone knife,Luuveitsi,2.0,True,,,,397.0,48.0,22.0,Löydetty hiekkamaasta. Pronssikautisuus kunnon perusteella hyvin kyseenalainen.,KM 14534,"24,32606027","61,12667329",,,,,,,,,,,,,,,
BA,423010011,Lieto,Kotokallio,KM,16731,,6716270.0,3245661.0,45.0,False,False,False,False,False,False,False,False,False,False,False,Bone artefacts,Bone artefact,Bone arrowhead,Luunuolenkärki,2.0,False,,11.0,4.0,,,,"Palanut. Liimattu yhteen neljästä osasta. Kärki puuttuu. ""Kokoelmalaatikkoon kirjoitettu ""Luutikari?""",KM 16731,"22,36959222","60,47666511",55.0,,,,,,,,,,,,,,
BA,423010011,Lieto,Kotokallio,KM,16731,,6716270.0,3245661.0,45.0,False,False,False,False,False,False,False,False,False,False,False,Bone artefacts,Bone arrowhead,Bone arrowhead,Luunuolenkärki,2.0,False,,11.0,4.0,,,,"Palanut. Liimattu yhteen neljästä osasta. Kärki puuttuu. ""Kokoelmalaatikkoon kirjoitettu ""Luutikari?""",KM 16731,"22,36959222","60,47666511",55.0,,,,,,,,,,,,,,
BA,564010051,Oulu,Hangaskangas,KM,31379,4.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Other bone artefact,Other bone artefact,Luuesineen katkelma,1.0,False,,,,,,,,KM 31379_4,"25,78367254","64,89675774",,,,,,,,,,,,,,,
BA,564010051,Oulu,Hangaskangas,KM,31379,9.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Other bone artefact,Other bone artefact,Luuesineen katkelma,1.0,False,,,,,,,,KM 31379_9,"25,78367254","64,89675774",,,,,,,,,,,,,,,
BA,564010051,Oulu,Hangaskangas,KM,31379,12.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Bone arrowhead,Bone arrowhead,Luunuolenkärki,1.0,False,,,,20.0,,,kärkikatkelma,KM 31379_12,"25,78367254","64,89675774",,,,,,,,,,,,,,,
BA,564010051,Oulu,Hangaskangas,KM,31379,13.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Bone arrowhead,Bone arrowhead,Luunuolenkärki,1.0,False,,,,20.0,,,kärkikatkelma,KM 31379_13,"25,78367254","64,89675774",,,,,,,,,,,,,,,
BA,564010051,Oulu,Hangaskangas,KM,31379,19.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Other bone artefact,Other bone artefact,Luuesineen katkelma,1.0,False,,,,,,,,KM 31379_19,"25,78367254","64,89675774",,,,,,,,,,,,,,,
