Phase;Site id;Collection;Main number;Subnumber;Municipality;Site name;p;i;z;m1;m2;m3;n1;n2;n3;n4;p1;p2;r1;r2;Category;Type;Subtype;Subtype (Finnish);Certainty;Integrity;Length (mm);Width (mm);Thickness (mm);Fragment length (mm);Fragment width (mm);Fragment thickness (mm);Other notes (Finnish);Photo ID;X;Y
SA;257010036;KM;21501;120;Kirkkonummi;Tengo Nyåker;6681465;3358830;35;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Miniature battle axe;Miniatyyrivasarakirves;1;FALSE;;;;;;;;KM 21501_120;24,44965082;60,22016099
SA;853010045;KM;21521;674;Turku;Kerola-Kankare;6728577;3246547;46;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay artefact fragment;Saviesineen katkelma;1;FALSE;;;;27;19;7;korsipainanteita;KM 21521_674;22,3699217;60,58731785
SA;613010040;KM;21536;777;Porvoo;Böle;6702770;3433160;10;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Other clay idol;Savi-idoli;2;FALSE;;;;20;11;8;käyrä tankomainen katkelma;KM 21536_777;25,78322962;60,43033691
SA;613010040;KM;21536;1081;Porvoo;Böle;6702770;3433160;10;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Other clay idol;Savi-idoli;2;FALSE;;;;;;;käyrä esine;KM 21536_1081;25,78322962;60,43033691
SA;613010040;KM;21536;3053;Porvoo;Böle;6702770;3433160;10;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay artefact fragment;Saviesineen katkelma;1;FALSE;;;;17;8;4;;KM 21536_3053;25,78322962;60,43033691
SA;613010040;KM;21536;3383;Porvoo;Böle;6702770;3433160;10;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay ball;Saviesine, pallo;1;FALSE;24;24;23;;;;;KM 21536_3383;25,78322962;60,43033691
SA;613010040;KM;21536;3503;Porvoo;Böle;6702770;3433160;10;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay button;Saviesine, nappi;1;FALSE;17;16;6;;;;;KM 21536_3503;25,78322962;60,43033691
SA;613010040;KM;21536;4252;Porvoo;Böle;6702770;3433160;10;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay bar;Saviesine, tanko;1;FALSE;;;;16;8;7;;KM 21536_4252;25,78322962;60,43033691
SA;613010040;KM;21536;5116;Porvoo;Böle;6702770;3433160;10;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay ball;Saviesine, pallo;1;FALSE;13;11;9;;;;;KM 21536_5116;25,78322962;60,43033691
SA;285010011;KM;21558;470;Kotka;Pykinkoski;6718380;3489820;20;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Other clay idol;Savi-idoli;3;FALSE;;;;33;21;13;;KM 21558_470;26,81123108;60,57585982
SA;285010011;KM;21558;1386;Kotka;Pykinkoski;6718380;3489820;20;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Other clay idol;Savi-idoli;2;FALSE;;;;26;20;10;;KM 21558_1386;26,81123108;60,57585982
SA;271010050;KM;21627;382;Kokemäki;Kraviojankangas (ent.Ylistaro Tolvan maa);6797800;3256730;45;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Paimio clay idol;Savi-idoli, Paimio;1;FALSE;;;;29;23;9;koristeltu aaltoviivoin, Paimion idoli;KM 21627_382;22,46792358;61,21294778
SA;271010050;KM;21750;178;Kokemäki;Kraviojankangas (ent.Ylistaro Tolvan maa);6797800;3256730;45;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay artefact fragment;Saviesineen katkelma;1;FALSE;;;;;;;toinen pallomainen, toinen nenämäinen kappale;KM 21750_178;22,46792358;61,21294778
SA;271010050;KM;21750;385;Kokemäki;Kraviojankangas (ent.Ylistaro Tolvan maa);6797800;3256730;45;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Paimio clay idol;Savi-idoli, Paimio;1;FALSE;;;;;;;viivakoristelua, Paimion tyypin idolin katkelma;KM 21750_385;22,46792358;61,21294778
SA;271010050;KM;21750;397;Kokemäki;Kraviojankangas (ent.Ylistaro Tolvan maa);6797800;3256730;45;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay artefact fragment;Saviesineen katkelma;1;FALSE;;;;;;;viivakoristelua;KM 21750_397;22,46792358;61,21294778
SA;271010050;KM;21750;398;Kokemäki;Kraviojankangas (ent.Ylistaro Tolvan maa);6797800;3256730;45;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay artefact fragment;Saviesineen katkelma;1;FALSE;;;;;;;viivakoristelua, suorakulmainen esine;KM 21750_398;22,46792358;61,21294778
SA;271010050;KM;21750;399;Kokemäki;Kraviojankangas (ent.Ylistaro Tolvan maa);6797800;3256730;45;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay artefact fragment;Saviesineen katkelma;1;FALSE;;;;;;;leimapainanteita, ainakin yksi paloista Paimion tyypin idolin katkelma;KM 21750_399;22,46792358;61,21294778
SA;271010050;KM;21750;458;Kokemäki;Kraviojankangas (ent.Ylistaro Tolvan maa);6797800;3256730;45;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay artefact fragment;Saviesineen katkelma;1;FALSE;;;;;;;osa lienee Paimion tyypin idolin katkelmia;KM 21750_458;22,46792358;61,21294778
SA;271010050;KM;21750;473;Kokemäki;Kraviojankangas (ent.Ylistaro Tolvan maa);6797800;3256730;45;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay artefact fragment;Saviesineen katkelma;1;FALSE;;;;;;;osa lienee Paimion tyypin idolin katkelmia;KM 21750_473;22,46792358;61,21294778
SA;271010050;KM;21750;483;Kokemäki;Kraviojankangas (ent.Ylistaro Tolvan maa);6797800;3256730;45;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay artefact fragment;Saviesineen katkelma;1;FALSE;;;;;;;osa lienee Paimion tyypin idolin katkelmia;KM 21750_483;22,46792358;61,21294778
SA;271010050;KM;21750;636;Kokemäki;Kraviojankangas (ent.Ylistaro Tolvan maa);6797800;3256730;45;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Paimio clay idol;Savi-idoli, Paimio;2;FALSE;;;;;;;viivakoristeinen, lienee Paimion tyypin idolin katkelma;KM 21750_636;22,46792358;61,21294778
SA;613010040;KM;22004;2652;Porvoo;Böle;6702770;3433160;10;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay disc;Saviesine, kiekko;1;FALSE;;;;;;;kaksi palaa mahdollisesti kangaspuunpainosta;KM 22004_2652;25,78322962;60,43033691
SA;613010040;KM;22004;4694;Porvoo;Böle;6702770;3433160;10;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Bent clay idol;Savi-idoli, käyrä;2;FALSE;;;;33;20;20;käyrän idolin keskikatkelma;KM 22004_4694;25,78322962;60,43033691
SA;613010040;KM;22004;6709;Porvoo;Böle;6702770;3433160;10;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay bead;Saviesine, helmi;1;FALSE;;;;14;15;9;puolikas;KM 22004_6709;25,78322962;60,43033691
SA;271010050;KM;22028;367;Kokemäki;Kraviojankangas (ent.Ylistaro Tolvan maa);6797800;3256730;45;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Paimio clay idol;Savi-idoli, Paimio;1;FALSE;;;;16;11;4;Koristeltu;KM 22028_367;22,46792358;61,21294778
SA;271010050;KM;22028;422;Kokemäki;Kraviojankangas (ent.Ylistaro Tolvan maa);6797800;3256730;45;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Paimio clay idol;Savi-idoli, Paimio;1;FALSE;;;;;;;Koristeltu;KM 22028_422;22,46792358;61,21294778
SA;271010050;KM;22028;438;Kokemäki;Kraviojankangas (ent.Ylistaro Tolvan maa);6797800;3256730;45;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Paimio clay idol;Savi-idoli, Paimio;1;FALSE;;;;;;;Koristeltu, 2 kpl;KM 22028_438;22,46792358;61,21294778
SA;271010050;KM;22028;516;Kokemäki;Kraviojankangas (ent.Ylistaro Tolvan maa);6797800;3256730;45;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Paimio clay idol;Savi-idoli, Paimio;2;FALSE;;;;15;10;8;"""Linnunkaulamainen"" muoto";KM 22028_516;22,46792358;61,21294778
SA;271010050;KM;22028;546;Kokemäki;Kraviojankangas (ent.Ylistaro Tolvan maa);6797800;3256730;45;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Paimio clay idol;Savi-idoli, Paimio;2;FALSE;;;;;;;Koristeltu;KM 22028_546;22,46792358;61,21294778
SA;271010050;KM;22028;558;Kokemäki;Kraviojankangas (ent.Ylistaro Tolvan maa);6797800;3256730;45;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Paimio clay idol;Savi-idoli, Paimio;1;FALSE;;;;;;;Koristeltuja, 4 kpl;KM 22028_558;22,46792358;61,21294778
SA;271010050;KM;22028;581;Kokemäki;Kraviojankangas (ent.Ylistaro Tolvan maa);6797800;3256730;45;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Paimio clay idol;Savi-idoli, Paimio;2;FALSE;;;;;;;Koristeltu;KM 22028_581;22,46792358;61,21294778
SA;271010050;KM;22028;642;Kokemäki;Kraviojankangas (ent.Ylistaro Tolvan maa);6797800;3256730;45;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Paimio clay idol;Savi-idoli, Paimio;2;FALSE;;;;31;21;18;Koristeltu;KM 22028_642;22,46792358;61,21294778
SA;271010050;KM;22028;643;Kokemäki;Kraviojankangas (ent.Ylistaro Tolvan maa);6797800;3256730;45;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Paimio clay idol;Savi-idoli, Paimio;2;FALSE;;;;30;22;12;Koristeltu;KM 22028_643;22,46792358;61,21294778
SA;271010050;KM;22028;684;Kokemäki;Kraviojankangas (ent.Ylistaro Tolvan maa);6797800;3256730;45;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Paimio clay idol;Savi-idoli, Paimio;2;FALSE;;;;;;;Koristeltu, 2 kpl;KM 22028_684;22,46792358;61,21294778
SA;271010050;KM;22028;785;Kokemäki;Kraviojankangas (ent.Ylistaro Tolvan maa);6797800;3256730;45;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay bead;Saviesine, helmi;1;FALSE;12;12;8;;;;Reiän halkaisija 3 mm;KM 22028_785;22,46792358;61,21294778
SA;271010050;KM;22028;814;Kokemäki;Kraviojankangas (ent.Ylistaro Tolvan maa);6797800;3256730;45;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Paimio clay idol;Savi-idoli, Paimio;1;FALSE;;;;25;21;8;Koristeltu;KM 22028_814;22,46792358;61,21294778
SA;271010050;KM;22028;965;Kokemäki;Kraviojankangas (ent.Ylistaro Tolvan maa);6797800;3256730;45;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Paimio clay idol;Savi-idoli, Paimio;2;FALSE;;;;18;13;8;;KM 22028_965;22,46792358;61,21294778
SA;271010050;KM;22028;975;Kokemäki;Kraviojankangas (ent.Ylistaro Tolvan maa);6797800;3256730;45;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Paimio clay idol;Savi-idoli, Paimio;2;FALSE;;;;25;20;12;Koristeltu (pisteet);KM 22028_975;22,46792358;61,21294778
SA;271010050;KM;22028;1221;Kokemäki;Kraviojankangas (ent.Ylistaro Tolvan maa);6797800;3256730;45;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Other clay idol;Savi-idoli;3;FALSE;;;;199;12;3;Koristeltu (viivoja);KM 22028_1221;22,46792358;61,21294778
SA;271010050;KM;22028;1252;Kokemäki;Kraviojankangas (ent.Ylistaro Tolvan maa);6797800;3256730;45;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Paimio clay idol;Savi-idoli, Paimio;2;FALSE;;;;16;13;12;Koristeltu (viivoja);KM 22028_1252;22,46792358;61,21294778
SA;271010050;KM;22028;1275;Kokemäki;Kraviojankangas (ent.Ylistaro Tolvan maa);6797800;3256730;45;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Paimio clay idol;Savi-idoli, Paimio;1;FALSE;;;;24;22;9;Koristeltu (viivoja), hajonnut neljään osaan;KM 22028_1275;22,46792358;61,21294778
